hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
"Marriott Vacation Club Pulse at Custom House, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$466,Booking.com,,"Free Wifi,Fitness center"
Seaport Boston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94330-Reviews-Seaport_Boston_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$333,Booking.com,,"Free Wifi,Pool"
Four Seasons Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$828,Travelocity,,"Free Wifi,Pool"
InterContinental Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$363,Travelocity,,"Free Wifi,Pool"
Boston Harbor Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$484,Booking.com,,"Free Wifi,Pool"
Lenox Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$268,Booking.com,,"Free Wifi,Restaurant"
Courtyard Boston Copley Square,http://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$379,Booking.com,,"Free Wifi,Restaurant"
Hotel Commonwealth,http://www.tripadvisor.com/Hotel_Review-g60745-d258705-Reviews-Hotel_Commonwealth-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$370,Booking.com,,"Free Wifi,Restaurant"
Eliot Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-Eliot_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$345,Booking.com,,"Free Wifi,Restaurant"
The Verb Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$238,Travelocity,,"Free Wifi,Pool"
Residence Inn by Marriott Boston Back Bay/Fenway,http://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$369,Hotels.com,,"Free Wifi,Breakfast included"
XV Beacon,http://www.tripadvisor.com/Hotel_Review-g60745-d94337-Reviews-XV_Beacon-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$445,Travelocity,,"Free Wifi,Restaurant"
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$325,Booking.com,,"Free Wifi,Restaurant"
"Mandarin Oriental, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d1136705-Reviews-Mandarin_Oriental_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$681,Booking.com,,"Free Wifi,Restaurant"
Hilton Garden Inn Boston Logan Airport,http://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$161,GardenInn.com,,"Free Wifi,Free Parking"
Loews Boston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$369,Loews Hotels,,"Free Wifi,Restaurant"
Colonnade Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-Colonnade_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$299,Booking.com,,"Free Wifi,Pool"
"The Langham, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d114149-Reviews-The_Langham_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$359,Travelocity,,"Free Wifi,Pool"
"Fairmont Copley Plaza, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d111444-Reviews-Fairmont_Copley_Plaza_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$579,Booking.com,,"Free Wifi,Restaurant"
enVision Hotel Boston - Longwood,http://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$213,Booking.com,,"Free Wifi,Fitness center"
Kimpton Nine Zero Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$369,Booking.com,,"Free Wifi,Restaurant"
The Boxer Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$299,Booking.com,,"Free Wifi,Restaurant"
Residence Inn Boston Downtown/Seaport,http://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$354,Booking.com,,"Free Wifi,Breakfast included"
"The Ritz-Carlton, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d222955-Reviews-The_Ritz_Carlton_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$647,Booking.com,,"Free Wifi,Pool"
Copley Square Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$307,Travelocity,,"Free Wifi,Restaurant"
The Bostonian Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d114150-Reviews-The_Bostonian_Boston-Boston_Massachusetts.html,Boston,,4,2017/11/11,2017/11/18,$291,Booking.com,,"Free Wifi,Restaurant"
Residence Inn by Marriott Boston Harbor on Tudor Wharf,http://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_by_Marriott_Boston_Harbor_on_Tudor_Wharf-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$359,Travelocity,,"Free Wifi,Breakfast included"
Newbury Guest House,http://www.tripadvisor.com/Hotel_Review-g60745-d111434-Reviews-Newbury_Guest_House-Boston_Massachusetts.html,Boston,,4,2017/11/11,2017/11/18,$239,Booking.com,,"Free Wifi,Breakfast included"
W Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d1486034-Reviews-W_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$349,Hotels.com,,"Free Wifi,Restaurant"
"The Westin Copley Place, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d89617-Reviews-The_Westin_Copley_Place_Boston-Boston_Massachusetts.html,Boston,,4.5,2017/11/11,2017/11/18,$347,Booking.com,,"Free Wifi,Restaurant"
